Speed,Torque,TrappedFuelMassFlow Engine 1 (kg/h)
RPM,[Nm],[kg/h]
2000,10.3774,2.48436
2000,182.261,9.16773
2000,179.837,9.47052
2000,172.033,8.5384
2000,171.007,8.46531
2000,171.013,8.47978
2000,171.023,8.4856
2000,171.008,8.48429
2000,171.006,8.48431
2000,171.001,8.48425
2000,171,8.48415
2000,171.004,8.48426
2000,171.002,8.4843
2000,171,8.48418
2000,170.999,8.48416
2000,171.001,8.48413
2000,171.002,8.48422
2000,170.999,8.48429
2000,171.001,8.48409
2500,10.3774,3.24484
2500,182.261,9.9231
2500,179.837,10.9293
2500,172.033,10.6954
2500,171.007,10.6758
2500,171.013,10.7708
2500,171.023,10.7665
2500,171.008,10.7654
2500,171.006,10.7632
2500,171.001,10.7636
2500,171,10.7634
2500,171.004,10.7638
2500,171.002,10.7633
2500,171,10.7638
2500,170.999,10.7635
2500,171.001,10.7634
2500,171.002,10.7635
2500,170.999,10.7635
2500,171.001,10.7639
3000,10.3774,4.56295
3000,182.261,13.6948
3000,179.837,14.0896
3000,172.033,12.8122
3000,171.007,13.004
3000,171.013,13.0355
3000,171.023,13.0191
3000,171.008,13.0156
3000,171.006,13.0149
3000,171.001,13.0137
3000,171,13.0139
3000,171.004,13.014
3000,171.002,13.0139
3000,171,13.0139
3000,170.999,13.0139
3000,171.001,13.014
3000,171.002,13.014
3000,170.999,13.0139
3000,171.001,13.014
3500,10.3774,5.70175
3500,182.261,18.9604
3500,179.837,19.2446
3500,172.033,17.7851
3500,171.007,16.7108
3500,171.013,16.8246
3500,171.023,16.7342
3500,171.008,16.7565
3500,171.006,16.7566
3500,171.001,16.7432
3500,171,16.7608
3500,171.004,16.7495
3500,171.002,16.7562
3500,171,16.7584
3500,170.999,16.7538
3500,171.001,16.7612
3500,171.002,16.7563
3500,170.999,16.7596
3500,171.001,16.7598
4000,10.3774,6.62701
4000,182.261,21.3471
4000,179.837,21.8661
4000,172.033,21.2124
4000,171.007,20.9697
4000,171.013,21.0392
4000,171.023,21.0353
4000,171.008,21.0389
4000,171.006,21.0404
4000,171.001,21.0409
4000,171,21.0409
4000,171.004,21.0408
4000,171.002,21.0409
4000,171,21.0407
4000,170.999,21.0407
4000,171.001,21.0409
4000,171.002,21.0409
4000,170.999,21.0408
4000,171.001,21.0408
4500,10.3774,7.52994
4500,182.261,23.7583
4500,179.837,24.319
4500,172.033,24.1196
4500,171.007,24.0834
4500,171.013,24.0914
4500,171.023,24.0966
4500,171.008,24.0977
4500,171.006,24.098
4500,171.001,24.0981
4500,171,24.0982
4500,171.004,24.0982
4500,171.002,24.0982
4500,171,24.0982
4500,170.999,24.0982
4500,171.001,24.0982
4500,171.002,24.0982
4500,170.999,24.0982
4500,171.001,24.0982
5000,10.3774,8.26816
5000,182.261,25.6084
5000,179.837,26.5405
5000,172.033,26.4764
5000,171.007,26.662
5000,171.013,26.6675
5000,171.023,26.6737
5000,171.008,26.6771
5000,171.006,26.6777
5000,171.001,26.6779
5000,171,26.6781
5000,171.004,26.6782
5000,171.002,26.6783
5000,171,26.6782
5000,170.999,26.6782
5000,171.001,26.6782
5000,171.002,26.6781
5000,170.999,26.6782
5000,171.001,26.6782
5500,10.3774,8.26816
5500,182.261,25.6084
5500,179.837,26.5405
5500,172.033,26.4764
5500,171.007,26.662
5500,171.013,26.6675
5500,171.023,26.6737
5500,171.008,26.6771
5500,171.006,26.6777
5500,171.001,26.6779
5500,171,26.6781
5500,171.004,26.6782
5500,171.002,26.6783
5500,171,26.6782
5500,170.999,26.6782
5500,171.001,26.6782
5500,171.002,26.6781
5500,170.999,26.6782
5500,171.001,26.6782
6000,10.3774,9.96727
6000,182.261,32.1116
6000,179.837,32.8881
6000,172.033,32.0139
6000,171.007,32.0685
6000,171.013,32.068
6000,171.023,32.0638
6000,171.008,32.0639
6000,171.006,32.064
6000,171.001,32.0642
6000,171,32.0642
6000,171.004,32.0642
6000,171.002,32.0642
6000,171,32.0641
6000,170.999,32.0642
6000,171.001,32.0641
6000,171.002,32.0641
6000,170.999,32.0641
6000,171.001,32.064
6500,10.3774,10.5642
6500,182.261,34.1296
6500,179.837,34.682
6500,172.033,33.4127
6500,171.007,33.5626
6500,171.013,33.5524
6500,171.023,33.549
6500,171.008,33.5492
6500,171.006,33.5493
6500,171.001,33.5491
6500,171,33.5494
6500,171.004,33.5491
6500,171.002,33.5493
6500,171,33.5492
6500,170.999,33.5493
6500,171.001,33.5492
6500,171.002,33.5492
6500,170.999,33.5491
6500,171.001,33.5493
7000,10.3774,10.8582
7000,182.261,34.2608
7000,179.837,34.7595
7000,172.033,34.1339
7000,171.007,34.0052
7000,171.013,33.9827
7000,171.023,33.9801
7000,171.008,33.9799
7000,171.006,33.9799
7000,171.001,33.9801
7000,171,33.9795
7000,171.004,33.98
7000,171.002,33.9799
7000,171,33.9799
7000,170.999,33.9797
7000,171.001,33.9797
7000,171.002,33.9802
7000,170.999,33.9797
7000,171.001,33.9801
7500,10.3774,10.9825
7500,182.261,34.1141
7500,179.837,35.0011
7500,172.033,34.75
7500,171.007,34.6206
7500,171.013,34.6056
7500,171.023,34.607
7500,171.008,34.6079
7500,171.006,34.6079
7500,171.001,34.6079
7500,171,34.608
7500,171.004,34.6079
7500,171.002,34.6081
7500,171,34.6081
7500,170.999,34.6078
7500,171.001,34.608
7500,171.002,34.6079
7500,170.999,34.608
7500,171.001,34.6078
8000,10.3774,10.9855
8000,182.261,33.9461
8000,179.837,35.3047
8000,172.033,35.4913
8000,171.007,35.5903
8000,171.013,35.5971
8000,171.023,35.5986
8000,171.008,35.5993
8000,171.006,35.5997
8000,171.001,35.5999
8000,171,35.5999
8000,171.004,35.5999
8000,171.002,35.6
8000,171,35.6
8000,170.999,35.5999
8000,171.001,35.5999
8000,171.002,35.6
8000,170.999,35.6
8000,171.001,35.5999
